Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
8/21/2023,8/21/2023,5033,AMZN Mktp US*TQ6SD88G2,Merchandise,65.39,
8/21/2023,8/21/2023,5033,AMZN Mktp US*TQ3GR28M2,Merchandise,50,
8/20/2023,8/21/2023,5033,DNH*GODADDY.COM,Internet,22.17,
8/20/2023,8/21/2023,5033,APPLE.COM/BILL,Merchandise,11.98,
8/14/2023,8/21/2023,5033,WWW.1AND1.COM,Internet,38.31,
8/20/2023,8/21/2023,5033,AMZN Mktp US*TQ67C7TT0,Merchandise,61.62,
8/19/2023,8/21/2023,5033,DNH*GODADDY.COM,Internet,22.17,
8/19/2023,8/21/2023,5033,AMZN Mktp US*TQ1HJ2GT2,Merchandise,50,
8/18/2023,8/21/2023,5033,LOWES #00410*,Merchandise,96.6,
8/18/2023,8/21/2023,5033,SP DIGITAL SPACEPORT S,Merchandise,,42.73
8/18/2023,8/19/2023,5033,AMZN Mktp US,Merchandise,,15.25
8/18/2023,8/19/2023,5033,AMZN Mktp US*TQ15V8OU0,Merchandise,50,
8/18/2023,8/18/2023,5033,CAPITAL ONE ONLINE PYMT,Payment/Credit,,100
8/16/2023,8/18/2023,5033,PAYPAL *ZANBOOINTERE6K,Merchandise,,100
8/17/2023,8/18/2023,5033,VONAGE *PRICE+TAXES,Phone/Cable,58.39,
8/18/2023,8/18/2023,5033,eBay O*07-10429-32571,Merchandise,50,
8/17/2023,8/18/2023,5033,PADDLE.NET* SLIDERREVO,Internet,35,
,,,,,2745.82,
